student-ID,course-id,roll no,email ID,grade
SID1782,CSE010,5PDRB0LQ,5pdrb0lq@university.edu,C
SID1313,CSE003,57L9QOY4,57l9qoy4@university.edu,D
SID1536,CSE017,CS2AHS5Q,cs2ahs5q@university.edu,F
SID1056,CSE014,C011579G,c011579g@university.edu,D
SID1876,CSE006,PMRWFJNZ,pmrwfjnz@university.edu,B
SID1438,CSE013,46JLW8G3,46jlw8g3@university.edu,A
SID1688,CSE013,FJ9QNQD6,fj9qnqd6@university.edu,B
SID1599,CSE005,43QZWFPR,43qzwfpr@university.edu,B
SID1127,CSE018,7NBPZGSJ,7nbpzgsj@university.edu,C
SID1296,CSE019,P615LHO7,p615lho7@university.edu,A
SID1987,CSE003,UJLRKUAV,ujlrkuav@university.edu,A
SID1372,CSE008,VUQMPV5O,vuqmpv5o@university.edu,A
SID1654,CSE015,9TDVG2KC,9tdvg2kc@university.edu,F
SID1733,CSE001,RR9FRBJR,rr9frbjr@university.edu,B
SID1712,CSE016,PGZ165N8,pgz165n8@university.edu,C
SID1511,CSE005,O5GF51Q9,o5gf51q9@university.edu,D
SID1495,CSE011,ZF9LVJPA,zf9lvjpa@university.edu,A
SID1383,CSE017,F7QUFPKP,f7qufpkp@university.edu,D
SID1789,CSE017,V5OZY7R9,v5ozy7r9@university.edu,C
SID1269,CSE019,KZ90WNEL,kz90wnel@university.edu,A
SID1715,CSE008,DFWKREFI,dfwkrefi@university.edu,C
SID1597,CSE003,8UHR832Y,8uhr832y@university.edu,D
SID1731,CSE005,CFGZ4K6O,cfgz4k6o@university.edu,E
SID1612,CSE006,PJEI7XGS,pjei7xgs@university.edu,F
SID1080,CSE007,0VDLKTZK,0vdlktzk@university.edu,F
SID1193,CSE001,1APIA428,1apia428@university.edu,E
SID1906,CSE001,BCDVY5O9,bcdvy5o9@university.edu,D
SID1740,CSE009,NVL3YQ07,nvl3yq07@university.edu,C
SID1909,CSE017,6OFVT77F,6ofvt77f@university.edu,D
SID1384,CSE014,01Z8EFDT,01z8efdt@university.edu,A
SID1753,CSE010,ZA8OTZNA,za8otzna@university.edu,C
SID1684,CSE007,D852RD8J,d852rd8j@university.edu,D
SID1451,CSE010,ZTWL2ALF,ztwl2alf@university.edu,F
SID1001,CSE001,JVNH0IFQ,jvnh0ifq@university.edu,B
SID1945,CSE019,M6XP3NC5,m6xp3nc5@university.edu,C
SID1971,CSE014,0BRHVKMB,0brhvkmb@university.edu,E
SID1625,CSE009,HKU07819,hku07819@university.edu,D
SID1918,CSE020,QJQ8CEHH,qjq8cehh@university.edu,A
SID1712,CSE019,9WBDR5Q1,9wbdr5q1@university.edu,F
SID1265,CSE010,ALAZVFX9,alazvfx9@university.edu,B
SID1470,CSE015,A9MQ281U,a9mq281u@university.edu,D
SID1583,CSE012,XI7YTPR5,xi7ytpr5@university.edu,C
SID1179,CSE008,UXPF4QTB,uxpf4qtb@university.edu,D
SID1981,CSE015,7FHHE6YN,7fhhe6yn@university.edu,E
SID1442,CSE003,ZTINMAFK,ztinmafk@university.edu,C
SID1912,CSE020,P8B8EWJR,p8b8ewjr@university.edu,D
SID1071,CSE014,85KKB3KJ,85kkb3kj@university.edu,D
SID1992,CSE005,X918VIT4,x918vit4@university.edu,B
SID1601,CSE005,2RLY48DQ,2rly48dq@university.edu,F
SID1600,CSE020,UIXBQQ1V,uixbqq1v@university.edu,D
SID1701,CSE012,KSEINZLD,kseinzld@university.edu,A
SID1903,CSE012,G5HCZ6NY,g5hcz6ny@university.edu,E
SID1920,CSE011,C6H29EOR,c6h29eor@university.edu,C
SID1135,CSE011,IIQAM0YK,iiqam0yk@university.edu,F
SID1449,CSE017,SLFO58PJ,slfo58pj@university.edu,F
SID1843,CSE015,BNCFPRD2,bncfprd2@university.edu,B
SID1815,CSE001,RADUQT21,raduqt21@university.edu,E
SID1919,CSE013,FC9992SP,fc9992sp@university.edu,D
SID1454,CSE017,4YADDHIW,4yaddhiw@university.edu,D
SID1159,CSE017,YMHSG4HQ,ymhsg4hq@university.edu,E
SID1563,CSE008,WFAGXTA0,wfagxta0@university.edu,E
SID1427,CSE019,GE7VJJ40,ge7vjj40@university.edu,E
SID1614,CSE002,WAL31BWT,wal31bwt@university.edu,C
SID1155,CSE009,OOMRIXNC,oomrixnc@university.edu,B
SID1877,CSE014,EJNC1ANI,ejnc1ani@university.edu,B
SID1806,CSE011,MXPVF9XT,mxpvf9xt@university.edu,F
SID1081,CSE002,ZPCNKNRV,zpcnknrv@university.edu,C
SID1746,CSE013,9L860QNF,9l860qnf@university.edu,B
SID1697,CSE001,PPAFWWRS,ppafwwrs@university.edu,F
SID1114,CSE017,JPN2CGYI,jpn2cgyi@university.edu,F
SID1960,CSE013,GPQW9S6U,gpqw9s6u@university.edu,A
SID1093,CSE005,B01AYOW0,b01ayow0@university.edu,F
SID1318,CSE015,3LZIFLHZ,3lziflhz@university.edu,E
SID1854,CSE019,T0D5FB6S,t0d5fb6s@university.edu,E
SID1587,CSE010,M81CQINM,m81cqinm@university.edu,F
SID1527,CSE008,HNX53SNN,hnx53snn@university.edu,B
SID1387,CSE003,0HGAPF3J,0hgapf3j@university.edu,F
SID1311,CSE011,PYZWTMQB,pyzwtmqb@university.edu,C
SID1300,CSE004,BH72UF7V,bh72uf7v@university.edu,A
SID1776,CSE015,NGBI706L,ngbi706l@university.edu,E
SID1740,CSE015,DXU38XFR,dxu38xfr@university.edu,A
SID1377,CSE018,BDVZ5KTK,bdvz5ktk@university.edu,E
SID1370,CSE008,PFEIMBXE,pfeimbxe@university.edu,D
SID1629,CSE011,WF5JM3EQ,wf5jm3eq@university.edu,A
SID1733,CSE005,ZO2NB73O,zo2nb73o@university.edu,D
SID1745,CSE011,08XACXRD,08xacxrd@university.edu,C
SID1509,CSE002,J5IUP43W,j5iup43w@university.edu,E
SID1611,CSE003,C5ZA0J8Q,c5za0j8q@university.edu,F
SID1768,CSE008,RC5E4PBZ,rc5e4pbz@university.edu,A
SID1915,CSE018,ZNARFN92,znarfn92@university.edu,D
SID1351,CSE017,ZJV2HW5T,zjv2hw5t@university.edu,C
SID1870,CSE014,VTPR2G7S,vtpr2g7s@university.edu,C
SID1331,CSE007,1U3F32V0,1u3f32v0@university.edu,B
SID1611,CSE010,NHSSQTNK,nhssqtnk@university.edu,B
SID1182,CSE006,5R8M1E32,5r8m1e32@university.edu,D
SID1259,CSE012,Z7SB7DJ1,z7sb7dj1@university.edu,A
SID1375,CSE017,RQ35SWPY,rq35swpy@university.edu,D
SID1530,CSE002,Y4NHPLFJ,y4nhplfj@university.edu,F
SID1231,CSE015,H3UWGVTP,h3uwgvtp@university.edu,E
SID1929,CSE007,GN878P64,gn878p64@university.edu,F
SID1436,CSE009,4TQYP9BV,4tqyp9bv@university.edu,C
SID1597,CSE009,2SM0DJ66,2sm0dj66@university.edu,A
SID1081,CSE005,6Z1EXKHI,6z1exkhi@university.edu,C
SID1238,CSE010,V0DV1MLJ,v0dv1mlj@university.edu,F
SID1839,CSE012,VHG9AQ9M,vhg9aq9m@university.edu,D
SID1326,CSE002,TTYPWZIO,ttypwzio@university.edu,B
SID1722,CSE014,E9IJAHRM,e9ijahrm@university.edu,A
SID1865,CSE006,ENXZJK3W,enxzjk3w@university.edu,A
SID1909,CSE003,X9DSR4NH,x9dsr4nh@university.edu,B
SID1718,CSE012,BE4UPYXK,be4upyxk@university.edu,F
SID1467,CSE013,WKRI1BAU,wkri1bau@university.edu,E
SID1882,CSE015,2PXVNLR1,2pxvnlr1@university.edu,C
SID1858,CSE002,X7716LI3,x7716li3@university.edu,F
SID1011,CSE006,7T0BGNEW,7t0bgnew@university.edu,C
SID1297,CSE008,9WWG55MY,9wwg55my@university.edu,A
SID1700,CSE016,0GXSTVN0,0gxstvn0@university.edu,F
SID1076,CSE019,9N6TAGBI,9n6tagbi@university.edu,E
SID1874,CSE001,IPWXB1ZJ,ipwxb1zj@university.edu,C
SID1144,CSE007,9267W7DL,9267w7dl@university.edu,D
SID1065,CSE003,X18QWNXJ,x18qwnxj@university.edu,D
SID1671,CSE011,5MDCNR0Z,5mdcnr0z@university.edu,F
SID1075,CSE001,NPJ5MQY5,npj5mqy5@university.edu,C
SID1372,CSE003,ARE1J4M9,are1j4m9@university.edu,F
SID1118,CSE019,ZBLUCGS5,zblucgs5@university.edu,C
SID1711,CSE008,GFG760UF,gfg760uf@university.edu,B
SID1237,CSE013,0S2SBQGQ,0s2sbqgq@university.edu,E
SID1681,CSE009,WIYN0KDM,wiyn0kdm@university.edu,E
SID1047,CSE008,3JEDRAJ9,3jedraj9@university.edu,D
SID1229,CSE011,BGM2GXHL,bgm2gxhl@university.edu,F
SID1723,CSE019,JE5JPH34,je5jph34@university.edu,B
SID1734,CSE013,FJN8921P,fjn8921p@university.edu,C
SID1808,CSE006,D5ZA1H94,d5za1h94@university.edu,B
SID1863,CSE009,GSYHT7HN,gsyht7hn@university.edu,B
SID1515,CSE002,9EVN0HM5,9evn0hm5@university.edu,F
SID1642,CSE007,1MC70U3C,1mc70u3c@university.edu,E
SID1320,CSE016,UG0G2XNV,ug0g2xnv@university.edu,E
SID1393,CSE008,UIG9GUQD,uig9guqd@university.edu,D
SID1530,CSE014,C6YJPVOK,c6yjpvok@university.edu,D
SID1907,CSE001,QC0BXS7Q,qc0bxs7q@university.edu,E
SID1154,CSE014,K14IE9QJ,k14ie9qj@university.edu,F
SID1769,CSE015,Z99XSY8B,z99xsy8b@university.edu,C
SID1330,CSE006,1LO0M3ZL,1lo0m3zl@university.edu,A
SID1112,CSE007,ZNNV6U59,znnv6u59@university.edu,D
SID1421,CSE004,1MXFLK4L,1mxflk4l@university.edu,E
SID1541,CSE007,E1T53P34,e1t53p34@university.edu,F
SID1729,CSE015,N7B5C2WZ,n7b5c2wz@university.edu,D
SID1786,CSE009,W8G3MB6P,w8g3mb6p@university.edu,D
SID1195,CSE001,6LTJPR3M,6ltjpr3m@university.edu,E
SID1588,CSE020,IYTXI1UM,iytxi1um@university.edu,C
SID1326,CSE005,8TO6I85U,8to6i85u@university.edu,B
SID1321,CSE018,8BFXD11B,8bfxd11b@university.edu,B
SID1079,CSE010,VMVW65TT,vmvw65tt@university.edu,E
SID1455,CSE014,EA4CV59N,ea4cv59n@university.edu,B
SID1815,CSE008,THSMJ0UB,thsmj0ub@university.edu,D
SID1579,CSE019,EN2SIW6O,en2siw6o@university.edu,E
SID1236,CSE010,G895XI4W,g895xi4w@university.edu,D
SID1262,CSE018,N8H7A9W5,n8h7a9w5@university.edu,F
SID1560,CSE015,CKK6JTB5,ckk6jtb5@university.edu,A
SID1697,CSE005,SQ1ZXA71,sq1zxa71@university.edu,E
SID1718,CSE020,AKFF29W1,akff29w1@university.edu,C
SID1307,CSE005,LX3OYLYE,lx3oylye@university.edu,C
SID1710,CSE016,DVI38JFT,dvi38jft@university.edu,D
SID1308,CSE019,AOZN4RSX,aozn4rsx@university.edu,B
SID1124,CSE011,CM1OA3IS,cm1oa3is@university.edu,A
SID1978,CSE007,MNMWG4PV,mnmwg4pv@university.edu,B
SID1766,CSE003,NH79DO7S,nh79do7s@university.edu,E
SID1718,CSE015,77VXU2O3,77vxu2o3@university.edu,E
SID1768,CSE018,N4ACT2PE,n4act2pe@university.edu,C
SID1955,CSE014,IVEKFEZA,ivekfeza@university.edu,F
SID1277,CSE006,B5LA0CN8,b5la0cn8@university.edu,A
SID1016,CSE009,4DMIODHT,4dmiodht@university.edu,E
SID1202,CSE006,BFEDOKD7,bfedokd7@university.edu,F
SID1040,CSE020,SNRPI2VB,snrpi2vb@university.edu,E
SID1646,CSE013,ZDZ12FM7,zdz12fm7@university.edu,C
SID1603,CSE014,DOTL80WC,dotl80wc@university.edu,B
SID1113,CSE004,AA981P68,aa981p68@university.edu,D
SID1709,CSE009,1HERYN44,1heryn44@university.edu,A
SID1032,CSE005,MX350R0Q,mx350r0q@university.edu,A
SID1722,CSE019,3UQHPU8L,3uqhpu8l@university.edu,B
SID1896,CSE017,VAXNUXF0,vaxnuxf0@university.edu,D
SID1853,CSE011,5MPFZNDO,5mpfzndo@university.edu,B
SID1993,CSE001,NQX0Z5P0,nqx0z5p0@university.edu,B
SID1403,CSE016,E114KGGT,e114kggt@university.edu,A
SID1502,CSE013,SJWZCRNZ,sjwzcrnz@university.edu,F
SID1061,CSE003,NF69RRH4,nf69rrh4@university.edu,E
SID1472,CSE019,QXZRBDRJ,qxzrbdrj@university.edu,C
SID1432,CSE012,LQ54S9WX,lq54s9wx@university.edu,C
SID1042,CSE012,1VE1O8IT,1ve1o8it@university.edu,B
SID1582,CSE006,PHSUB3B3,phsub3b3@university.edu,C
SID1117,CSE014,FR0WZL8B,fr0wzl8b@university.edu,B
SID1808,CSE019,ZWMWCHQ8,zwmwchq8@university.edu,F
SID1400,CSE001,HSOA7BGV,hsoa7bgv@university.edu,A
SID1764,CSE020,TG7ZAXCK,tg7zaxck@university.edu,C
SID1237,CSE006,7BXZSGUB,7bxzsgub@university.edu,C
SID1084,CSE006,IS6CLY0B,is6cly0b@university.edu,A
SID1666,CSE003,FFML7IYU,ffml7iyu@university.edu,A
SID1468,CSE012,Q7RGLRJ8,q7rglrj8@university.edu,F
SID1327,CSE005,TPHVU2ND,tphvu2nd@university.edu,A
SID1538,CSE007,TQ1IP8R8,tq1ip8r8@university.edu,B
SID1507,CSE015,KFNSYMTF,kfnsymtf@university.edu,C
SID1490,CSE015,0RUBLA4V,0rubla4v@university.edu,A
SID1040,CSE013,918CRQR5,918crqr5@university.edu,E
SID1156,CSE020,2FWM2EQT,2fwm2eqt@university.edu,F
SID1724,CSE006,XSCNVD6J,xscnvd6j@university.edu,A
SID1919,CSE010,XJW7W43H,xjw7w43h@university.edu,D
SID1803,CSE002,NZBX3RGX,nzbx3rgx@university.edu,E
SID1490,CSE001,XBAL695W,xbal695w@university.edu,F
SID1236,CSE011,5UWGLF2O,5uwglf2o@university.edu,A
SID1885,CSE015,NU6O0A1W,nu6o0a1w@university.edu,D
SID1314,CSE001,4W4S20XL,4w4s20xl@university.edu,F
SID1325,CSE002,LVQ88AHJ,lvq88ahj@university.edu,E
SID1631,CSE016,UCGMDAKF,ucgmdakf@university.edu,A
SID1155,CSE006,1ETIWQ4J,1etiwq4j@university.edu,E
SID1210,CSE008,9TBCMLG3,9tbcmlg3@university.edu,D
SID1830,CSE013,SJB7OOW1,sjb7oow1@university.edu,C
SID1356,CSE003,1RQL02BE,1rql02be@university.edu,C
SID1504,CSE010,5M5E5NEH,5m5e5neh@university.edu,F
SID1731,CSE007,D9CPE6F3,d9cpe6f3@university.edu,B
SID1872,CSE016,MR2Z1ZB6,mr2z1zb6@university.edu,E
SID1922,CSE003,G5THFK47,g5thfk47@university.edu,E
SID1483,CSE001,KN1PTVG3,kn1ptvg3@university.edu,A
SID1522,CSE018,7KA6X28U,7ka6x28u@university.edu,D
SID1127,CSE013,7UWP85AG,7uwp85ag@university.edu,A
SID1772,CSE015,NU95BRAD,nu95brad@university.edu,B
SID1893,CSE009,VPZ3K3MJ,vpz3k3mj@university.edu,B
SID1692,CSE005,GHQRG7YF,ghqrg7yf@university.edu,E
SID1824,CSE005,2GQF1BUT,2gqf1but@university.edu,B
SID1427,CSE001,VAXIMMXM,vaximmxm@university.edu,F
SID1596,CSE009,MVEWNZBS,mvewnzbs@university.edu,A
SID1337,CSE004,87DRIA5A,87dria5a@university.edu,F
SID1851,CSE007,YDJIQL3Z,ydjiql3z@university.edu,A
SID1365,CSE018,S1XG99IZ,s1xg99iz@university.edu,C
SID1502,CSE017,M6GODUA1,m6godua1@university.edu,E
SID1896,CSE018,9I9MJH82,9i9mjh82@university.edu,F
SID1188,CSE019,10P212HZ,10p212hz@university.edu,F
SID1694,CSE003,BL49G1XT,bl49g1xt@university.edu,B
SID1042,CSE015,XWB0GCLT,xwb0gclt@university.edu,F
SID1596,CSE012,90JFNM7X,90jfnm7x@university.edu,F
SID1270,CSE020,7YFW25NT,7yfw25nt@university.edu,D
SID1966,CSE012,TSMA0V7J,tsma0v7j@university.edu,D
SID1709,CSE015,6A3TE1XC,6a3te1xc@university.edu,E
SID1329,CSE020,419KBK5Q,419kbk5q@university.edu,E
SID1323,CSE013,0KVUROXB,0kvuroxb@university.edu,D
SID1441,CSE017,IB5HIT9X,ib5hit9x@university.edu,D
SID1690,CSE010,FWOV4MHO,fwov4mho@university.edu,F
SID1898,CSE011,1T1X0QWC,1t1x0qwc@university.edu,B
SID1337,CSE008,SCBOC048,scboc048@university.edu,D
SID1694,CSE010,0P2IDL80,0p2idl80@university.edu,A
SID1819,CSE002,FFZR2ZGG,ffzr2zgg@university.edu,E
SID1489,CSE009,ENC3537Y,enc3537y@university.edu,C
SID1055,CSE008,4Z03LYZ8,4z03lyz8@university.edu,E
SID1976,CSE001,0T8IZGTR,0t8izgtr@university.edu,F
